SITC_code,description,sector_code,stage,multiplier
S2-62105,"Piping and tubing, of unhardened vulcanized rubber",,,
S2-62106,"Hardened rubber, in bulk, plates etc; scrap of hardened rubber",,,
S2-625,"Rubber tires, tire cases, inner and flaps, for wheels of all kinds",,,
S2-6251,"Tires, pneumatic, new, for motor cars",,,
S2-6252,"Tires, pneumatic, new, for buses and lorries",,,
S2-6253,"Tires, pneumatic, new, for aircraft",,,
S2-6254,"Tires, pneumatic, new, for motorcycles and bicycles",,,
S2-6259,"Other tires, tire cases, tire flaps and inner tubes, etc",,,
S2-62591,Inner tubes,,,
S2-62599,"Tires, nes, tire cases, interchangeable tire treads and tire flaps",,,
S2-628,"Articles of rubber, nes",,,
S2-6281,"Hygienic, pharmaceutical articles of unhardened vulcanized rubber",,,
S2-6282,"Transmission, conveyor or elevator belts, of vulcanized rubber",,,
S2-6289,"Other articles of rubber, nes",,,
S2-62898,"Articles of unhardened rubber, nes",,,
S2-62899,"Articles of hardened rubber, nes",,,
S2-63,"Cork and wood, cork manufactures",,,
S2-633,Cork manufactures,,,
S2-6330,Cork manufactures,,,
S2-63301,Articles of natural cork,,,
S2-63302,Agglomerated cork and articles of agglomerated cork,,,
S2-634,"Veneers, plywood, improved wood and other wood, worked, nes",,,
S2-6341,"Wood sawn lengthwise, veneer sheets etc, up to 5 mm in thickness",,,
S2-6342,Plywood consisting solely of sheets of wood,,,
S2-6343,Improved wood and reconstituted wood,,,
S2-63431,"Improved wood, in sheets, blocks or the like",,,
S2-63432,"Reconstituted wood, in sheets, blocks or the like",,,
S2-6344,"Wood-based panels, nes",,,
S2-63441,"Blockboard, laminboard, and similar laminated wood products",,,
S2-63442,Inlaid wood and wood marquetry,,,
S2-63443,Cellular wood panels,,,
S2-6349,"Wood, simply shaped, nes",,,
S2-63491,Hoopwood; split poles; wooden sticks; chipwood; etc,,,
S2-63492,Wooden beadings and mouldings,,,
S2-63493,Wood wool and wood flour,,,
S2-635,"Wood manufactures, nes",,,
S2-6351,"Wood packing cases, boxes, cases, crates, etc, complete",,,
S2-6352,"Casks, barrels; other coopers products and parts, including staves",,,
S2-6353,Builders` carpentry and joinery (including prefabricated),,,
S2-6354,Manufactures of wood for domestic or decorative use,,,
S2-63541,"Wooden picture frames, mirror frames and the like",,,
S2-63542,Household utensils of wood,,,
S2-63549,"Lamps, caskets, trays, and other articles of woods, domestic",,,
S2-6359,"Manufactured articles of wood, nes",,,
S2-63591,"Wooden tools, tool bodies, handles, broom etc; boot and shoe lasts",,,
S2-63592,"Spools, cops, bobbins, sewing thread reels, etc, of turned wood",,,
S2-63599,"Other articles of wood, nes",,,
S2-64,"Paper, paperboard, and articles of pulp, of paper or of paperboard",,,
S2-641,Paper and paperboard,,,
S2-6411,Newsprint,,,
S2-6412,"Printing paper and writing paper, in rolls or sheets",,,
S2-64121,"Printing paper and writing paper, in rolls or sheets; uncoated",,,
S2-64122,"Printing paper and writing paper, in rolls or sheets; coated, impregnated, surface-coloured, decorated or printed",,,
S2-6413,"Kraft paper and paperboard, in rolls or sheets",,,
S2-64131,"Kraft liner, in rolls or sheets",,,
S2-64132,"Sack Kraft paper, in rolls or sheets",,,
S2-64139,"Kraft paper and paperboard, in rolls or sheets, nes",,,
S2-6415,"Paper and paperboard, in rolls or sheets, nes",,,
S2-64151,"Semi-chemical fluting paper, in rolls or sheets",,,
S2-64152,"Sulphite wrapping paper, in roll or sheets",,,
S2-64153,"Greaseproof paper and paperboard, etc, in rolls or sheets",,,
S2-64159,"Other paper and paperboard, in rolls or sheets, nes",,,
S2-6416,Fibre building board of wood or other vegetable material,,,
S2-64161,Fibre building board of wood or other vegetable material; compressed (hardboard),,,
S2-64162,"Fibre building board of wood or other vegetable material; non-compressed (insulating board, etc)",,,
S2-6417,"Paper and paperboard, creped, crinkled, etc, in rolls or sheets",,,
S2-64171,"Kraft paper, creped or crinkled, in rolls or sheet",,,
S2-64172,"Paper, creped or crinkled, for household use, in rolls or sheets",,,
S2-64173,"Other creped or crinkled paper, in rolls or sheets",,,
S2-64174,"Paper and paperboard, corrugated, in rolls or sheets",,,
S2-6418,"Paper and paperboard, coated, impregnated, etc, in rolls or sheets",,,
S2-64181,"Paper, etc, coated with artificial resins, in rolls or sheets",,,
S2-64182,"Paper and paperboard, tarred, asphalted, etc, in rolls or sheets",,,
S2-64189,"Paper and paperboard, coated, etc, nes, in rolls or sheets",,,
S2-6419,"Converted paper and paperboard, nes",,,
S2-64192,"Composite paper and paperboard not coated, etc, in rolls or sheets",,,
S2-64196,"Filter blocks, slabs and plates, of paper pulp",,,
S2-64197,Wallpaper and lincrusta; window transparencies of paper,,,
S2-642,"Paper and paperboard, precut, and articles of paper or paperboard",,,
S2-6421,"Packing containers, box files, etc, of paper, used in offices",,,
S2-6422,Correspondence stationary,,,
S2-6423,"Registers, exercise books, file and book covers, etc, of paper",,,
S2-6424,"Paper and paperboard cut to size or shape, nes",,,
S2-64241,"Cigarette paper, precut, in booklets or tubes",,,
S2-64242,Copying papers and transfer papers cut to size,,,
S2-64243,"Toilet paper cut to size, in rolls or in sheets",,,
S2-64244,Gummed or adhesive paper in strip or rolls,,,
S2-64249,"Other paper and paperboard, cut to size or shape, nes",,,
S2-6428,"Articles of paper pulp, paper, paperboard or cellulose wadding, nes",,,
S2-64281,"Bobbins, spools, etc of paper pulp, paper or paperboard",,,
S2-64282,Cards for punched-card machines,,,
S2-64283,"Trays, dishes, cups, etc, of paper pulp, paper or paperboard",,,
S2-64284,"Paper tissues, towels, bed sheets, etc; paper under garments",,,
S2-64285,"Sanitary towels and tampons; diapers, of paper or cellulose wadding",,,
S2-64289,"Other articles of paper pulp, paper, cellulose wadding, etc, nes",,,
S2-65,"Textile yarn, fabrics, made-up articles, nes, and related products",,,
S2-651,Textile yarn,,,
S2-6511,Silk yarn and spun from noil or waste; silkworm gut,,,
S2-65111,Silk yarn (other than waste) not put up for retail sale,,,
S2-65116,"Yarn spun from noil or other waste of silk, not for retail sale",,,
S2-65117,"Silk yarn, spun from silk waste, for retail; silkworm gut",,,
S2-6512,Yarn of wool or animal hair (including wool tops),,,
S2-65121,Wool tops,,,
S2-65122,"Carded sheep's or lambs' wool (woolen yarn), not for retail sale",,,
S2-65123,"Combed sheep's or lambs' wool (worsted yarn), not for retail sale",,,
S2-65124,"Fine hair yarn (carded or combed), not for retail sale",,,
S2-65125,"Coarse hair yarn, not for retail sale",,,
S2-65126,"Yarn of sheep's or lamb's wool or of fine animal hair, for retail",,,
S2-65127,"Yarn of carded sheep's or lamb's wool, blended, not for retail",,,
S2-65128,"Yarn of combed sheep's or lamb's wool, blended, not for retail",,,
S2-65129,Wool etc blend yarn for retail,,,
S2-6513,Cotton yarn,,,
S2-65131,"Cotton yarn; measuring, per single yarn, 14 km/kg or less, not for retail",,,
S2-65132,"Cotton yarn; measuring, per single yarn, from 14 to 40 km/kg, not for retail",,,
S2-65133,"Cotton yarn; measuring, per single yarn, from 40 but less 80km/kg, non retail",,,
S2-65134,"Cotton yarn; measuring, per single yarn, 80 km/kg or more, not for retail",,,
S2-65135,Cotton yarn; put up for retail sale,,,
S2-6514,"Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc",,,
S2-65141,"Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; textured, of continuous polyamide",,,
S2-65142,"Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; nontextured of continuous polyamide, from non to 50 turns per mt",,,
S2-65143,"Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; other non-textured yarns of continuous polyamide",,,
S2-65144,"Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; textured, of continuous polyester",,,
S2-65145,"Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; nontextured of continuous polyester, from non to 50 turns per mt",,,
S2-65146,"Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; other non-textured yarns of continuous polyester",,,
S2-65147,"Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; of other continuous synthetic fibres",,,
S2-65148,"Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; of discontinuous synthetic fibres",,,
S2-65149,"Yarn 85% of synthetic fibres, not for retail; monofil, strip, etc; monofil, strip and imitation catgut",,,
S2-6515,"Yarn containing 85% or more of synthetic fibres, put up for retail",,,
S2-65151,"Yarn containing 85% or more of synthetic fibres, put up for retail; of continuous fibres",,,
S2-65152,"Yarn containing 85% or more of synthetic fibres, put up for retail; of discontinuous fibres",,,
S2-6516,Yarn containing less than 85% of discontinuous synthetic fibres,,,
S2-65166,"Yarn containing less than 85% of discontinuous synthetic fibres; mixed mainly or solely with cotton, not for retail",,,
S2-65167,"Yarn containing less than 85% of discontinuous synthetic fibres; mixed mainly with wool, fine animal hair, etc, not for retail",,,
S2-65168,"Yarn containing less than 85% of discontinuous synthetic fibres; mixed with other than wool, cotton, etc, not put for retail",,,
S2-65169,Yarn containing less than 85% of discontinuous synthetic fibres; put up for retail sale,,,
S2-6517,"Yarn of regenerated fibres, not for retail, monofil, strip, etc",,,
S2-65171,Yarn of continuous viscose rayon,,,
S2-65172,Yarn of continuous acetate fibres,,,
S2-65173,Yarn of other continuous regenerated textile fibres,,,
S2-65174,Yarn with 85% or more of discontinuous regenerated fibres,,,
S2-65175,Yarn with less than 85% discontinuous regenerated fibres/cotton,,,
S2-65176,"Yarn with less than 85% discontinuous regenerated fibres/wool, etc",,,
S2-65177,Other discontinuous regenerated blend yarn,,,
S2-65178,"Monofil, strip and imitation catgut, of regenerated fibre materials",,,
S2-6518,"Yarn of regenerated fibres, put up for retail sale",,,
S2-65181,"Yarn of regenerated fibres, put up for retail sale; of continuous fibres",,,
S2-65182,"Yarn of regenerated fibres, put up for retail sale; of discontin fibres",,,
S2-6519,"Yarn of textile fibres, nes",,,
S2-65191,"Metallized yarn, being textile yarn spun with metal",,,
S2-65195,"Yarn, slivers and roving of glass fibre",,,
S2-65196,Flax or ramie yarn not put up for retail sale,,,
S2-65197,Flax or ramie yarn put up for retail sale,,,
S2-65198,Yarn of jute or of other textile bast fibres of heading 264.0,,,
S2-65199,"Yarn of other vegetable textile fibres, nes; paper yarn",,,
S2-652,"Cotton fabrics, woven (not including narrow or special fabrics)",,,
S2-6521,"Cotton fabrics, woven, unbleached, not mercerized",,,
S2-65211,"Cotton gauze, unbleached, not mercerized",,,
S2-65212,"Terry fabrics, of cotton, unbleached, not mercerized",,,
S2-65214,"Other woven fabrics with 85% or more of grey cotton, not mercerized",,,
S2-65215,"Other woven cotton fabrics, less 85% of grey cotton, not mercerized",,,
S2-6522,"Cotton fabrics, woven, bleached, dyed, etc, or otherwise finished",,,
S2-65221,"Cotton gauze, bleached, dyed, printed, etc, or otherwise finished",,,
S2-65222,"Terry fabrics, of cotton, bleached, etc, or otherwise finished",,,
S2-65223,"Pile and chenille fabrics, woven, of cotton (no terry fabrics)",,,
S2-65224,"Other woven fabrics, 85% plus of cotton, bleached, etc, finished",,,
S2-65225,"Other woven fabrics, less 85% of cotton, bleached, etc, finished",,,
S2-653,"Fabrics, woven, of man-made fibres (not narrow or special fabrics)",,,
S2-6531,"Fabrics, woven, of continuous synthetic textile materials",,,
S2-65314,"Tire cord fabric, of continuous synthetic textile materials",,,
S2-65315,"Fabrics, woven, 85% plus of continuous synthetic textile materials",,,
S2-65316,"Fabrics, woven, less 85% of continuous synthetic textile materials",,,
S2-6532,"Fabrics, woven, 85% plus of discontinuous synthetic fibres",,,
S2-6534,"Fabrics, woven, less 85% of discontinuous synthetic fibres",,,
S2-65341,"Fabrics, woven, less 85% of discontinuous synthetic fibres ; mixed mainly or solely with cotton",,,
S2-65342,"Fabrics, woven, less 85% of discontinuous synthetic fibres ; mixed mainly or solely with wool or fine animal hair",,,
S2-65343,"Fabrics, woven, less 85% of discontinuous synthetic fibres ; mixed mainly with continuous man-made textile materials",,,
S2-65349,"Fabrics, woven, less 85% of discontinuous synthetic fibres ; mixed mainly with fibres other than cotton, wool, etc",,,
S2-6535,"Fabric, woven of continuous regenerated textile materials",,,
S2-65354,Tire cord fabric of continuous regenerated textile materials,,,
S2-65355,"Fabrics, woven, 85% plus continuous regenerated textile materials",,,
S2-65356,"Fabrics, woven, less 85% continuous regenerated textile materials",,,
S2-6536,"Fabrics, woven, 85% plus of discontinuous regenerated fibres",,,
S2-6538,"Fabrics, woven, less 85% of discontinuous regenerated fibres",,,
S2-65381,"Fabrics, woven, less 85% of discontinuous regenerated fibres; mixed mainly or solely with cotton",,,
S2-65382,"Fabrics, woven, less 85% of discontinuous regenerated fibres; mixed mainly or solely with wool or fine animal hair",,,
S2-65383,"Fabrics, woven, less 85% of discontinuous regenerated fibres; mixed mainly with continuous man-made textile materials",,,
S2-65389,"Fabrics, woven, less 85% of discontinuous regenerated fibres; mixed mainly with fibres other than cotton, wool, etc",,,
S2-6539,"Pile and chenille fabrics, woven, of man-made fibres",,,
S2-65397,"Pile and chenille fabrics, woven, of man-made fibres; synthetics",,,
S2-65398,"Pile and chenille fabrics, woven, of man-made fibres; regenerated",,,
S2-654,"Textile fabrics, woven, other than cotton or man-made fibres",,,
S2-6541,"Fabrics, woven, of silk, of noil or other waste silk",,,
S2-6542,"Fabrics, woven, 85% plus of sheep's or lambs' wool or of fine hair",,,
S2-65421,"Fabrics, woven, 85% plus of sheep's or lambs' wool or of fine hair; of carded wool or carded fine animal hair",,,
S2-65422,"Fabrics, woven, 85% plus of sheep's or lambs' wool or of fine hair; of combed wool or combed fine animal hair",,,
S2-6543,"Fabrics, woven, of sheep's or lambs' wool or of fine hair, nes",,,
S2-65431,"Fabrics, woven, of sheep's or lambs' wool or of fine hair, nes; less 85% wool or fine hair, mixed continuous synthetic fibres",,,
S2-65432,"Fabrics, woven, of sheep's or lambs' wool or of fine hair, nes; less 85% wool or hair, mixed discontinuous synthetic fibres",,,
S2-65433,"Fabrics, woven, of sheep's or lambs' wool or of fine hair, nes; less 85% wool or hair, mixed with other synthetic fibres",,,
S2-65434,"Pile fabrics and chenille fabrics, woven, of wool or fine hair",,,
S2-6544,"Fabrics, woven, of flax or of ramie",,,
S2-6545,"Fabrics, woven of jute or other textile bast fibres of heading 2640",,,
S2-6546,"Fabrics of glass fibre (including narrow, pile fabrics, lace, etc)",,,
S2-6549,"Fabrics, woven, nes",,,
S2-65491,"Fabrics, woven, of metallized yarn, used in furnishing fabrics, etc",,,
S2-65492,"Fabrics, woven, of horsehair or of other coarse animal hair",,,
S2-65498,"Fabrics, woven, of other vegetable textile fibres; of paper yarn",,,
S2-65499,"Pile fabrics and chenille fabrics, woven, nes",,,
S2-655,"Knitted or crocheted fabrics (including tubular, etc, fabrics)",,,
S2-6551,"Knitted etc, not elastic nor rubberized, of synthetic fibres",,,
S2-6552,"Knitted, not elastic nor rubberized, of fibres other than synthetic",,,
S2-65521,"Knitted, not elastic nor rubberized, of fibres other than synthetic; of wool or fine animal hair",,,
S2-65522,"Knitted, not elastic nor rubberized, of fibres other than synthetic; of cotton",,,
S2-65523,"Knitted, not elastic nor rubberized, of fibres other than synthetic; of regenerated fibres",,,
S2-65529,"Knitted, not elastic nor rubberized, of fibres other than synthetic; of other fibres",,,
S2-6553,"Knitted or crocheted fabrics, elastic or rubberized",,,
S2-656,"Tulle, lace, embroidery, ribbons, trimmings and other small wares",,,
S2-6560,"Tulle, lace, embroidery, ribbons, trimmings and other small wares",,,
S2-65601,"Narrow woven fabrics, and narrow fabrics (bolduc)",,,
S2-65602,"Woven labels, badges and the like, not embroidered, in strips, etc",,,
S2-65603,"Chenille and gimped yarn; braid, tassels, pompons and the like",,,
S2-65604,"Tulle and other net fabrics, plain",,,
S2-65605,"Tulle and other net fabrics, figured; lace, in strips or in motifs",,,
S2-65606,"Embroidery, in the piece, in strips or in motifs",,,
S2-657,Special textile fabrics and related products,,,
S2-6571,"Felt, articles of felt, nes, whether or not impregnated or coated",,,
S2-6572,"Bonded fibre fabrics, etc, whether or not impregnated or coated",,,
S2-6573,"Coated or impregnated textile fabrics and products, nes",,,
S2-65731,Textile fabrics coated with gum or amylaceous substances,,,
S2-65732,Textile fabrics coated with plastic or cellulose derivatives,,,
S2-65733,Rubberized textile fabrics (other than knitted or crocheted goods),,,
S2-65739,"Impregnated or coated textile fabrics; studio backcloths, etc",,,
S2-6574,Elastic fabrics and trimming (not knitted or crocheted),,,
S2-6575,"Twine, cordage, ropes and cables and manufactures thereof",,,
S2-65751,"Twine, cordage, ropes and cables plaited or not",,,
S2-65752,"Nets and netting made of twine, cordage or rope, etc",,,
S2-65759,"Other articles made from yarn, twine, cordage, rope or cable",,,
S2-6576,"Hat shapes, hat-forms, hat bodies and hoods",,,
S2-65761,"Hat-forms, hat bodies, etc, of felt; plateaux and manchons",,,
S2-65762,"Hat-shapes, plaited or made from plaited or strips of any material",,,
S2-6577,"Wadding, wicks and textiles fabrics for use in machinery or plant",,,
S2-65771,"Wadding and articles of, nes; textile flock, dust and mill neps",,,
S2-65772,"Wicks, of woven, plaited or knitted textile materials etc",,,
S2-65773,Textile fabrics and articles for machinery or plants,,,
S2-6579,Special products of textile materials,,,
S2-65791,"Textile hosepiping, and similar tubing, etc",,,
S2-65792,"Transmission, conveyor, belts, etc, of textile material",,,
S2-658,"Made-up articles, wholly or chiefly of textile materials, nes",,,
S2-6581,"Bags, sacks of textile materials, for the packing of goods",,,
S2-6582,"Tarpaulins, sails, tents, camping goods, etc, of textile fabrics",,,
S2-65821,"Tarpaulins, sails, tents, camping goods, etc, of textile fabrics; of cotton",,,
S2-65829,"Tarpaulins, sails, tents, camping goods, etc, of textile fabrics; other than of cotton",,,
S2-6583,"Travelling rugs, blankets (non electric), not knitted or crocheted",,,
S2-65831,"Travelling rugs, blankets (non electric), not knitted or crocheted; of wool or fine animal hair",,,
S2-65832,"Travelling rugs, blankets (non electric), not knitted or crocheted; of cotton",,,
S2-65833,"Travelling rugs, blankets (non electric), not knitted or crocheted; of synthetic fibres",,,
S2-65839,"Travelling rugs, blankets (non electric), not knitted or crocheted; of other fibres",,,
S2-6584,"Linens and furnishing articles of textile, not knitted or crocheted",,,
S2-65841,Bed linen of cotton,,,
S2-65842,Bed linen of other fibres,,,
S2-65843,Table linen of cotton,,,
S2-65844,Table linen of other fibres,,,
S2-65845,Toilet and kitchen linen of cotton,,,
S2-65846,Toilet and kitchen linen of other fibres,,,
S2-65848,Other furnishing articles of cotton,,,
S2-65849,Other furnishing articles of other fibres,,,
S2-6589,"Other made-up articles of textile materials, nes",,,
S2-65891,"Tapestries, hand-made, and needle-worked made in panels by hand",,,
S2-65898,"Knitted or crocheted textile articles, nes, not elastics, etc",,,
S2-65899,"Made-up textile articles not knitted or crocheted, nes",,,
S2-659,"Floor coverings, etc",,,
S2-6591,Linoleum and similar floor covering,,,
S2-65911,Floor coverings prepared on a base of paper or paperboard,,,
S2-65912,Linoleum and materials prepared on textile base,,,
S2-6592,"Carpets, carpeting and rugs, knotted",,,
S2-65921,"Carpets, carpeting and rugs, knotted; of wool or fine animal hair",,,
S2-65929,"Carpets, carpeting and rugs, knotted; of other textile materials",,,
S2-6593,"Kelem, Schumacks and Karamanie rugs and the like",,,
S2-6594,"Carpets, rugs, mats, of wool or fine animal hair",,,
S2-65941,"Carpets, rugs, mats, of wool or fine animal hair; tufted",,,
S2-65942,"Carpets, rugs, mats, of wool or fine animal hair; woven",,,
S2-65949,"Carpets, rugs, mats, of wool or fine animal hair; other than knotted, tufted, woven or of felt",,,
S2-6595,"Carpets, rugs, mats, of man-made textile materials, nes",,,
S2-65951,"Carpets, rugs, mats, of man-made textile materials, nes; tufted",,,
S2-65952,"Carpets, rugs, mats, of man-made textile materials, nes; woven",,,
S2-65959,"Carpets, rugs, mats, of man-made textile materials, nes; other than knotted, tufted, woven or of felt",,,
S2-6596,"Carpets, rugs, mats, of other textile materials, nes",,,
S2-65961,"Carpets, rugs, mats, of other textile materials, nes; tufted",,,
S2-65962,"Carpets, rugs, mats, of other textile materials, nes; other than knotted, tufted, or of felt",,,
S2-65963,"Floor coverings of felt, of tufted felt or of needleloom felt",,,
S2-6597,"Plaits, plaited products for all uses; straw envelopes for bottles",,,
S2-66,"Non-metallic mineral manufactures, nes",,,
S2-661,"Lime, cement, and fabricated construction materials",,,
S2-6611,"Lime, quick, slaked and hydraulic (no calcium oxide or hydroxide)",,,
S2-6612,Cement,,,
S2-6613,"Building and monumental stone, worked, and articles thereof",,,
S2-66131,"Road and paving setts, curb and flagstones, of natural stone",,,
S2-66132,"Building and monumental stone, worked, and articles thereof",,,
S2-66133,"Slate, worked, articles of slate",,,
S2-6618,"Construction materials, of asbestos-cement or fibre-cements, etc",,,
S2-66181,Articles of asphalt or of similar material,,,
S2-66182,"Panel, blocks, etc of mixed vegetable-mineral substances",,,
S2-66183,"Articles of asbestos-cement, of cellulose fibre-cement or the like",,,
S2-662,Clay and refractory construction materials,,,
S2-6623,Refractory bricks and other refractory construction materials,,,
S2-66231,"Heat-insulated bricks, blocks, etc, of siliceous earth",,,
S2-66232,"Refractory bricks, blocks, tiles, etc, other than heading 66231",,,
S2-66233,"Refractory cement, mortars and similar composition",,,
S2-6624,"Non-refractory ceramic bricks, tiles, pipes and similar products",,,
S2-66241,Building bricks,,,
S2-66242,"Roofing tiles, chimney-pots, etc, and ceramic constructional goods",,,
S2-66243,"Ceramic piping, conduits and guttering",,,
S2-66244,"Unglazed ceramic setts, flags and paving, hearth and wall tiles",,,
S2-66245,"Glazed ceramic setts, flags and paving, hearth and wall tiles",,,
S2-663,"Mineral manufactures, nes",,,
S2-6631,"Hand polishing stone, grindstones, grinding wheels, etc",,,
S2-6632,"Abrasive power or grain, on a base of woven fabrics",,,
S2-6633,"Manufactures of mineral materials, nes (other than ceramic)",,,
S2-66331,Articles of plastering material,,,
S2-66332,"Articles of cement, concrete or artificial stone, reinforce or not",,,
S2-66333,"Mica, worked, and articles of mica",,,
S2-66339,"Articles of stone or of other mineral substances, nes",,,
S2-6635,"Wool; expanding or insulating mineral materials, nes",,,
S2-6637,"Refractory goods, nes",,,
S2-6638,Manufactures of asbestos; friction materials,,,
S2-66381,Fabricated asbestos and articles thereof,,,
S2-66382,Friction materials,,,
S2-6639,"Articles of ceramic materials, nes",,,
S2-66391,"Laboratory, chemical or industrial ware, ceramic, non-refractory",,,
S2-66392,"Other articles of ceramic materials, nes",,,
S2-664,Glass,,,
S2-6641,"Glass in the mass, in balls, rods or tubes (nonoptical); waste",,,
S2-66414,Glass in the mass (nonoptical); waste glass (cullet),,,
S2-66415,"Glass in balls, rods and tubes, unworked (nonoptical)",,,
S2-6642,Optical glass and elements of optical glass (unworked),,,
S2-6643,"Drawn or blown glass (flashed glass), unworked, in rectangles",,,
S2-6644,"Glass, cast, rolled, etc, surface-ground, but no further worked",,,
S2-6645,"Cast, rolled glass (flashed or wired), unworked, in rectangles",,,
S2-6646,"Bricks, tiles, etc of pressed or moulded glass, used in building",,,
S2-6647,"Safety glass consisting of toughened or laminated glass, cut or not",,,
S2-6648,"Glass mirror, unframed, framed or backed",,,
S2-6649,"Glass, nes",,,
S2-66491,"Glass cut to shape, or bent or otherwise worked",,,
S2-66492,"Glass envelopes (bulbs, tubes) lamps, electronic valves, etc",,,
S2-66493,Clock and watch glasses etc,,,
S2-66494,"Glass fibre (including wool) and articles made therefrom, nes",,,
S2-665,Glassware,,,
S2-6651,Bottles etc of glass,,,
S2-66511,"Jars, pots, etc, of glass, for conveyance of goods; stoppers etc",,,
S2-66512,Glass inners for vacuum flasks or for other vacuum vessels,,,
S2-6652,"Glassware (other than heading 66582), for indoor decoration",,,
S2-6658,"Articles made of glass, nes",,,
S2-66581,"Laboratory, hygienic and pharmaceutical glassware; glass ampoules",,,
S2-66582,Glass ornaments nes,,,
S2-66589,"Other articles of glass, nes",,,
S2-666,Pottery,,,
S2-6664,Porcelain or china house ware,,,
S2-6665,"Articles of domestic or toilet purposes, of other kind of pottery",,,
S2-6666,"Ornaments, personal articles of porcelain, china, or ceramic, nes",,,
S2-667,"Pearl, precious and semi-precious stones, unworked or worked",,,
S2-6671,"Pearls, not mounted, set or strung",,,
S2-6672,"Diamonds (non-industrial), not mounted or set",,,
S2-66721,"Diamonds, rough, unsorted",,,
S2-66722,"Diamonds, sorted, rough or simply sawn, cleaved or bruted",,,
S2-66729,"Diamonds cut or otherwise worked, but not mounted or set",,,
S2-6673,"Precious and semi-precious stones, not mounted, set or strung",,,
S2-6674,Synthetic or reconstructed precious or semi-precious stones,,,
S2-67,Iron and steel,,,
S2-671,"Pig and sponge iron, spiegeleisen, etc, and ferro-alloys",,,
S2-6712,"Pig iron, cast iron, spiegeleisen, in pigs, blocks, lumps, etc",,,
S2-6713,"Iron and steel powders, shot or sponge",,,
S2-67131,"Iron or steel shot and angular grit, graded or not; wire pellets",,,
S2-67132,Iron or steel powders,,,
S2-67133,"Sponge iron or steel, not in powder form",,,
S2-6716,Ferro-alloys,,,
S2-67161,Ferro-manganese,,,
S2-67162,Ferro-silicon,,,
S2-67169,Other ferro-alloys,,,
S2-672,"Ingots and other primary forms, of iron or steel",,,
S2-6724,"Puddled bars, pilings; ingots, blocks, lumps, etc, of iron or steel",,,
S2-67241,"Ingots of iron or steel, other than of high carbon or alloy steel",,,
S2-67242,Ingots of high carbon steel,,,
S2-67243,Ingots of stainless or heat-resistant steel,,,
S2-67244,Ingots of other alloy steel,,,
S2-67245,"Puddled bars, piling; blocks, lumps, etc, of iron or steel",,,
S2-6725,"Blooms, billets, slabs and sheet bars, of iron or steel",,,
S2-67251,"Blooms, billets, slabs and sheet bars, of iron or steel; of other than high carbon or alloy steel",,,
S2-67252,"Blooms, billets, slabs and sheet bars, of iron or steel; of high carbon steel",,,
S2-67254,"Blooms, billets, slabs and sheet bars, of iron or steel; of stainless or heat-resistant steel",,,
S2-67255,"Blooms, billets, slabs and sheet bars, of iron or steel; of other alloy steel",,,
S2-6727,Iron or steel coils for re-rolling,,,
S2-67271,Iron or steel coils for re-rolling; of other than high carbon or alloy steel,,,
S2-67272,Iron or steel coils for re-rolling; of high carbon steel,,,
S2-67274,Iron or steel coils for re-rolling; of stainless or heat resisting steel,,,
S2-67275,Iron or steel coils for re-rolling; other alloy steel,,,
S2-673,"Iron and steel bars, rods, shapes and sections",,,
S2-6731,Wire rod of iron or steel,,,
S2-67311,Wire rod of iron or steel; of other than high carbon or alloy steel,,,
S2-67312,Wire rod of iron or steel; of high carbon steel,,,
S2-67314,Wire rod of iron or steel; of stainless or heat-resistant steel,,,
S2-67315,Wire rod of iron or steel; of other alloy steel,,,
S2-6732,"Bars, rods (not wire rod), from iron or steel; hollow mining drill",,,
S2-67322,"Bars, rods (not wire rod), from iron or steel; hollow mining drill; of high carbon steel",,,
S2-67324,"Bars, rods (not wire rod), from iron or steel; hollow mining drill; of stainless or heat-resistant steel",,,
S2-67325,"Bars, rods (not wire rod), from iron or steel; hollow mining drill; of other alloy steel",,,
S2-67326,"Bars, rods, hot rolled or extruded (not high carbon or alloy steel)",,,
S2-67327,"Bars, rods, forget, cold formed (not high carbon, alloy steel), etc",,,
S2-6733,"Angles, shapes, sections and sheet piling, of iron or steel",,,
S2-67331,"U, I, H sections, hot-rolled (not high carbon, alloy), of less 80mm",,,
S2-67332,"U, I, H sections, hot-rolled (not high carbon, alloy), of 80mm plus",,,
S2-67333,"Other profiles hot-rolled of iron or steel (not high carbon, alloy)",,,
S2-67334,"Other profiles cold-formed of iron or steel (not high carbon, alloy)",,,
S2-67335,"Other angles, shapes, etc, of iron or steel (not high carbon, alloy)",,,
S2-67336,Sheet piling of iron or steel (not of high carbon or alloy steel),,,
S2-67338,"Angles, shapes and sections, of stainless or heat-resistant steel",,,
S2-67339,"Angles, shapes and sections, of other alloy steel",,,
